rec_id, given_name, surname, street_number, address_1, address_2, suburb, postcode, state, date_of_birth, age, phone_number, soc_sec_id, blocking_number
rec-205-org,   georgia, godfrey, 6, mockridge crescent, , burpengary, 3135, tas, 19720406, 40, 08 02523659, 2737671, 5
rec-612-org,   , mason, 36, chewings street, sec 552, st ives, 6060, nsw, 19770403, 24, 04 04796964, 9873998, 6
rec-660-org,   adam, white, 568, , , mooloolaba, 2322, qld, 19210815, 27, 08 31463868, 7242309, 6
rec-723-org,   dylan, laing, 4, chippindall circuit, granny flt, lismore, 3134, qld, 19450415, 34, 02 53906001, 8685079, 0
rec-292-org,   jordan, hercog, 14, , st lawrence park, ruse, 5171, wa, 19720423, 27, 02 67829875, 9870721, 0
rec-564-org,   calvin, webb, , nepean place, memorial hospital, mowbray heights, 3805, vic, 19330516, 28, 08 66676643, 9225158, 2
rec-295-org,   tiarna, spicer, 14, ryrie street, , normanhurst, 2572, nsw, 19630316, 33, 07 07096597, 7807425, 1
rec-221-org,   corie, trimble, 21, scarborough street, bungarra, winthrop, 2217, qld, 19920712, , 02 45481846, 1566362, 2
rec-752-org,   katelyn, dudek, 10, murranji street, sec 2 candelo, dapto, 2045, wa, 19080603, 39, 02 37387570, 2736505, 7
rec-706-org,   pearson, clarke, 8, atherton street, , cundletown, 3825, sa, 19890929, 11, 08 67291645, 2326542, 6
rec-37-org,   nicholas, blackwell, 44, carina street, , rouse hill, 4350, vic, 19030609, , 08 45855644, 6792074, 6
rec-544-org,   toby, nye, , marlock street, , port noarlunga south, 4350, nsw, 19800622, 31, 02 52882236, 7352843, 8
rec-573-org,   jasper, reid, 19, hannah place, , cedar creek, 4217, nsw, 19591024, 38, 08 12943581, 9137841, 2
rec-168-org,   blake, marlow, 23, , , lamb island, 4575, , 19460410, 21, 08 23892805, 3614353, 7
rec-412-org,   jordan, morcom, 65, livingston avenue, , eastwood, 6148, vic, 19240822, 24, 04 99777493, 9805259, 2
rec-10-org,   grace, , 2, eggleston crescent, , sunshine north, 6061, vic, 19090910, 26, 08 02371347, 2479348, 7
rec-348-org,   mathilde, lock, 13, denny street, , elermore vale, 2166, vic, 19300805, 33, 07 26752020, 5716563, 9
rec-269-org,   ellen, ryan, 63, knaggs crescent, kelman vineyard, winmalee, 3021, sa, 19261114, , 07 08123745, 1149031, 0
rec-581-org,   alisa, majid, 16, bowden crescent, arlington, fine flower creek, 2016, , 19020803, , 02 73821568, 1486836, 6
rec-664-org,   shae, boyle, 36, woodgate street, , annandale, 4030, nsw, 19560416, , , 1510570, 2
rec-505-org,   sylvie, reid, 38, jinka street, , moruya, 2099, sa, 19110725, 31, 02 97335711, 2560651, 0
rec-697-dup-1, giajni, clar ke, 169, , , thornbury, 2333, vic, 19970322, , 03 82045250, 8455274, 1
rec-689-org,   robert, lock, 4, vagabond crescent, cliff house 2, ryde, 2340, vic, 19160925, 31, 08 88282583, 4454735, 6
rec-338-org,   isabella, gillard, 2, morrison street, , maclean, 3783, nsw, 19650322, 12, 04 33118245, 7641550, 0
rec-668-org,   daniel, golanski, 9, manifold place, , bunbury, 4018, qld, 19831215, 35, 03 90049860, 2374482, 9
rec-184-dup-0, arabella, pantos, 554, gardiner street, , tiddy widd beach, 2261, vicq, 19120711, 22, 03 70607337, 6901505, 6
rec-136-org,   demie, matthews, 7, twelve trees crescent, , warnbro, 2449, nsw, 19791013, , 08 03084547, 4874478, 5
rec-207-org,   , dixon, 26, somerset street, , osborne park, 2759, nsw, 19080522, 25, 08 12407655, 2647347, 7
rec-362-org,   emiily, tschirpig, 11, renmark street, brannigans, newcomb, 4520, vic, 19020720, , 08 88090363, 4160103, 4
rec-71-org,   natassia, marinos, 74, apsley place, masonic memorial village, bundaberg, 6101, , 19970925, 30, 02 81669080, 1299479, 4
rec-536-dup-0, charlwtte, harrington, 130, clianthus street, wonkinya, toormina, 2485, nsw, 19300527, 35, , 1628766, 4
rec-95-org,   jacqueline, warneke, 321, redcliffe street, , yarraville, 6056, qld, 19031111, 33, 03 77251831, 6650702, 5
rec-556-dup-1, christian, hutceson, 8, marchant circuit, , alice springs, 2135, vic, 19900805, 73, 03 97551376, 7690623, 8
rec-609-org,   brody, reid, 25, ryan street, , toowong, 2213, sa, 19651216, , 04 40673167, 8193932, 3
rec-600-org,   kenneth, inveen, 1026, strickland crescent, reed thoroughbred stud, north hobart, 3019, qld, 19191219, 30, 02 58835796, 5665528, 9
rec-233-org,   james, paterson, 73, gabriel place, carney's arcade, coffs harbour, 4116, qld, 19050806, , 03 77289915, 3478297, 9
rec-365-org,   kadin, white, 1478, port jackson circuit, , yamba, 2484, , 19700222, 21, 03 03570819, 9361537, 2
rec-606-org,   mitchell, mcvey, 5, medley street, , mitcham, 2323, tas, 19201002, 11, 02 95364046, 7856129, 1
rec-200-org,   haylee, hardbottle, 27, tristania street, , east hills, 5600, nsw, 19020823, 27, 03 14995218, 5450982, 2
rec-273-org,   lily, cheers, 578, longstaff street, , ashfield, 4113, nsw, 19720904, 22, 03 60464094, 8703645, 4
rec-521-org,   kiria, rees, 33, chalker circuit, , east maitland, 4702, nsw, , 31, 04 70118721, 6039257, 8
rec-306-org,   adele, cheshire, 140, blandon place, , caroline springs, 6112, nsw, 19910816, , 02 48309123, 2619482, 2
rec-428-org,   april, bowerman, 49, embling street, buena vista, fraser, 3214, vic, 19880607, 27, , 7907504, 7
rec-305-org,   elizabeth, kerslake, 26, goodwin street, , cook, 2212, vic, 19840220, 27, , 3872039, 5
rec-217-dup-0, javris, whitme, 10, horne place, alabama, oonoonba, 3373, , 19441009, 30, 04 96156158, 3059666, 9
rec-589-org,   cameron, barbuto, 1, mcnicoll place, , waverley, 2216, vic, 19810415, 27, 07 58627231, 1641789, 1
rec-434-dup-0, james, george, 164, fihelly street, , carraara, 2566, vic, 19250911, 28, 02 12140833, 6392961, 4
rec-673-org,   madeleine, mildren, 4, muir close, , annandale, 5158, , 19200808, 30, 03 53263770, 9030808, 1
rec-110-org,   madeleine, eyles, 13, abercrombie circuit, moodwood angus stud, paddington, 2534, sa, 19290518, , 07 68886787, 4256611, 8
rec-424-org,   ridley, hope, 48, , , hurstville south, 6383, nsw, 19830410, 11, 08 93700679, 6943400, 5
rec-397-org,   zoe, bradshaw, 20, hugh mckay crescent, , glenwood, 3175, nsw, 19270506, 24, 03 10496606, 1344856, 1
rec-678-org,   , whale, 10, madigan street, windorah, kurri kurri, 3350, vic, , , 02 03916571, 9851223, 4
rec-188-org,   luke, mosman, 27, jensen street, , condon, 5049, qld, 19970413, 29, 08 20796770, 2515635, 3
rec-518-org,   hayden, blake, 7, bibb place, , granville, 3071, nsw, , , 04 32318547, 8586899, 0
rec-25-org,   jack, mulvey, 26, cargelligo street, , west wyalong, 4068, nsw, , , 02 76879301, 7079517, 7
rec-667-org,   melissa, ayres, 14, somerville street, , torquay, 2415, qld, 19571014, 7, 03 86443017, 3151705, 0
rec-194-org,   liam, steinert, 11, , homesite 3, rowville, 2464, vic, 19210117, , 03 12906246, 4176765, 2
rec-158-org,   paige, calipari, 22, tauss place, , cooya beach, 5090, nsw, 19140516, , 07 82361683, 4749578, 1
rec-250-org,   alana, butt, 281, mockridge crescent, , atherton, 0810, vic, 19830820, 31, 08 21296426, 5139398, 9
rec-790-dup-0, alexandra, guyemr, 80, grund place, , landsboaough, 2101, , 19140316, , 04 24321021, 2084829, 8
rec-23-org,   michaela, trninic, 16, freeling crescent, , watsonia, 4215, qld, 19510604, 13, 04 61619073, 1843160, 2
rec-285-org,   neneh, lock, 3, chataway crescent, , pumphreys, 3980, vic, 19530826, 25, 08 17468441, 8430903, 0
rec-6-org,   rachel, coldicutt, 24, archibald street, may cottage, kotta, 2095, qld, 19280218, 28, 08 81989236, 6279891, 1
rec-490-org,   holly, coppola, 13, captain cook crescent, glen echo, old bar, 5085, nsw, 19600914, , 03 88730006, 1464649, 6
rec-698-org,   joshua, simonn, 19, karney street, ethnam farm, hackham, 3144, vic, 19920616, 33, 04 35943784, 6250286, 7
rec-70-org,   neve, green, 41, , , mittagong, 2112, qld, , 30, 08 51037611, 8957662, 3
rec-256-org,   kiara, mcvilly, 11, chubb street, , emu plains, 6111, vic, 19620404, , 07 17818575, 3999806, 5
rec-646-org,   montanna, coffey, 54, rivers street, , gordonvale, 2303, sa, 19581130, 31, 07 47297965, 8551039, 0
rec-330-org,   shakirah, , 9, ellerston avenue, catumbel lodge, macquarie fields, 3977, act, 19840120, , 07 99709571, 9856914, 9
rec-529-dup-0, gillian, rosafa, 26, paul coe crescent, marriott downs, theodore, 5049, qld, 19210222, , 07 66731584, 9293734, 2
rec-381-org,   olivia, von wasserling, 119, badimara street, fig trees, sunshine, 2583, vic, 19730116, 23, 03 00248811, 5644759, 8
rec-238-org,   nicholas, hingston, 71, waddell place, , bacchus marsh, 4101, nsw, 19090125, 8, 02 69220356, 7706418, 8
rec-372-org,   pakita, benjamin, 16, vasey crescent, , campsie, 4207, qld, 19170809, , 02 02949236, 5771575, 5
rec-69-dup-2, danieg, florew, 133, bromell circuit, , kalken, 2100, vic, , 29, 07 82255312, 8036904, 5
rec-182-org,   courtney, brooker, 52, mackellar crescent, , thebarton, 2600, qld, 19370202, , 07 48550625, 3500703, 8
rec-227-org,   kye, ebert, 6, bugden avenue, clisby farm, flemington, 2572, vic, 19230427, 30, 08 19766281, 3626378, 1
rec-786-org,   daniella, morrison, 48, herschell circuit, wrensfield, blacktown, 4350, vic, 19290328, 36, 04 72423001, 1942810, 2
rec-790-dup-2, alexandra, guumer, 08, grund place, , landsborough, 2110, , 19140316, , 04 24231021, 2084829, 8
rec-483-org,   ebony, mcgregor, 2, albermarle place, glenmore, hazelwood north, 3032, sa, 19570426, 27, 04 59889914, 2978353, 0
rec-766-org,   daniel, lavrencic, 17, kambalda crescent, , risdon vale, 4519, qld, 19970110, 34, 08 43095310, 1431285, 1
rec-100-dup-0, hugo, lock, 13, ovens street, , wingello, 3817, , 19390708, 39, 07 39992025, 3520347, 1
rec-774-org,   alexis, lock, 27, fiveash street, , caves beach, 2135, nsw, 19771201, 10, 07 05781770, 9637073, 4
rec-169-org,   teal, forwood, 70, hazel street, , granville, 3915, vic, , , 04 76089349, 6174563, 3
rec-559-org,   angelica, bloomfield, 64, kirwan circuit, nioka, highgate, 2323, nsw, 19720625, 27, 02 42693506, 8546980, 1
rec-201-org,   abbey, thorpe, 13, cochrane crescent, , , 3976, sa, 19240323, , 02 63889665, 4269693, 3
rec-798-org,   savannah, glass, 40, winser crescent, glenview, cowell, 4515, , 19591025, , 07 92539181, 3042886, 1
rec-346-org,   cassandra, tiu, 12, case place, omeo, eastern heights, 3355, qld, 19690627, 32, 03 73557196, 8862898, 0
rec-632-org,   caleb, staufenbiel, 12, schlich street, , lansvale, 4019, nsw, 19140517, 12, 04 85715604, 1947388, 9
rec-9-org,   scott, reid, 32, darke street, , richardson, 4849, vic, 19540113, , 03 98735171, 8631028, 2
rec-230-org,   matthew, wheatley, 29, langdon avenue, , para hills, 5072, nsw, 19090521, 30, 08 90208559, 6102369, 1
rec-329-org,   jackson, siggins, 70, de graaff street, , bagdad, 6163, sa, 19061013, 30, 04 45452582, 4290585, 0
rec-81-org,   kelsey, dooley, 255, hindmarsh drive, , wallsend, 6155, nsw, , , 08 02969714, 8020272, 1
rec-45-org,   seth, bralic, 35, barsdell place, corella, urangan, 3047, qld, 19180601, 27, 08 06212463, 7819934, 4
rec-353-org,   sophie, matthews, 1, temperley street, , toowoomba, 5355, vic, 19861203, 22, 02 01659050, 8438737, 0
rec-587-dup-2, claie, dixo, 35, chowne street, cooranga, peake, 2099, qld, , 25, 03 02975070, 2538749, 7
rec-323-org,   jaxson, hearde, 336, trumper street, rawdon, white hills, 4352, sa, 19411220, , 04 40416852, 3812328, 4
rec-788-org,   katherine, reid, 36, cockburn street, , tarnagulla, 2640, sa, , 34, 07 53279766, 8629395, 6
rec-761-org,   kyle, white, 34, allott place, , nowra, 6743, vic, 19451231, 40, 02 54419118, 7369471, 8
rec-68-org,   paris, gluszyk, 29, morrison street, , wallsend, 4011, vic, 19770324, , , 4734770, 8
rec-90-org,   quinn, madigan, 208, mackellar crescent, , newee creek, 2731, vic, 19921029, 28, 07 94997872, 3543167, 2
rec-762-org,   emiily, campton, 217, port jackson circuit, , osborne, 4128, vic, 19650815, 31, 08 01265432, 9447502, 1
rec-699-org,   jessica, green, 66, amagula avenue, locn 2192, frankston, 2113, wa, 19990726, 29, 03 32884132, 8382394, 5
rec-67-org,   matisse, lodge, 272, pollock street, cathys creek, boulder, 3150, , 19960920, 36, 07 60623157, 1638758, 7
rec-331-org,   anna, jolly, , medley street, , cardiff, 4670, act, 19871117, 30, , 6346052, 0
rec-107-dup-0, mitchlel, clarke, 54, brolga place, , battery hill, 2089, nsw, 19670828, 13, 03 20278998, 5172545, 8
rec-549-org,   jessica, green, 6, , victoria mill estate, annandale, 2224, nsw, 19650612, 25, 08 59503129, 5296555, 1
rec-30-org,   connor, siviour, 17, , , deer park, 3223, nsw, 19601116, , 07 47394865, 2226739, 1
rec-267-org,   alexander, tow, 35, sturt avenue, , brighton, , nsw, , 31, 04 45108266, 5554515, 1
rec-621-org,   kayla, grubb, 39, ijong street, , mansfield, 4670, nsw, 19540419, 32, 02 06061699, 5903503, 0
rec-481-org,   zachary, pettigrove, 174, boustead circuit, mauchline hill, sunshine, 3429, nsw, 19440429, 29, 08 44840052, 1844957, 6
rec-377-org,   holly, reid, 14, hertz place, dianella masonic vlge, yass, 4210, nt, 19930719, 29, 08 48346359, 1882589, 6
rec-322-org,   jai, clarke, 266, leahy close, , ellenbrook, 4817, wa, 19791205, 30, 08 93446085, 9090017, 7
rec-574-org,   mitchell, hyland, 6, , calderwood, donnybrook, 3806, nsw, 19410902, 22, 02 45043206, 1180618, 7
rec-301-org,   charlie, rundle, 29, majura avenue, keriroca, yamba, 4118, qld, 19590606, 25, , 3627592, 0
rec-469-org,   dylan, lowe, 394, wattle street, cypress garden, worongary, 3196, nsw, 19030821, 31, 02 52133620, 1065483, 0
rec-771-org,   jaden, wotton, 30, banfield street, mapperley, salisbury, 4114, , 19090130, 4, 08 10452833, 1101007, 2
rec-682-org,   riley, white, 312, , albion, exmouth, 2144, vic, 19530701, , 02 86132203, 2125440, 0
rec-642-org,   millie, hollowood, 14, leahy close, mirani, kenwick, 2334, wa, 19530523, 19, 07 97592150, 5631462, 1
rec-679-org,   xavier, campbell, 18, levien street, , raceview, 2229, vic, 19311220, 35, 03 64425560, 9323616, 6
rec-421-org,   zachary, geue, 24, ulm place, , parkside, 3342, nsw, 19710413, 35, 02 27725073, 4778105, 8
rec-53-org,   abby, mahon, 22, wilsmore crescent, , goonellabah, 2440, qld, 19391227, 35, 02 62082633, 1865262, 7
rec-344-dup-0, casy, bowerman, 9, wittenook crescent, , frankston, 3127, voc, 19030829, 27, 04 32470994, 3666787, 4
rec-34-org,   hannah, cruttenden, 19, mcdonald street, boeing park, ascot, 3168, nsw, 19050806, 20, 02 26157976, 6689712, 3
rec-575-org,   hayley, andersch, 16, kadina crescent, rivulett cottage, coonawarra, 2060, vic, 19590521, 33, 03 32024553, 8884734, 6
rec-561-org,   joshua, menzies, 23, fitzherbert place, , scarborough, 3170, qld, 19800520, 27, 04 13417965, 4839812, 2
rec-107-dup-2, mitchell, clarke, 54, brolgaplace, locehil, battery hill, 2089, nsw, 19670828, 32, 03 20287998, 5172545, 8
rec-54-org,   caleb, stubbs, 5, cradle close, , greenwith, 3840, nsw, 19800527, 24, 02 80992077, 9232927, 9
rec-567-org,   jessica, bristow, 15, grimshaw street, , casuarina, 4065, , 19040906, 25, 04 16407378, 9514526, 1
rec-697-dup-2, gianni, clarke, 169, , , thornbury, 2333, , 19907322, , 03 82045250, 1204842, 1
rec-698-dup-1, joshua, simonn, 19, ethnam farm, karney street, hackham, 3144, vi, 19920616, 33, 04 35943784, 6250286, 7
rec-215-org,   solomon, berry, 5, brookman street, brentwood village, beresford, 3188, qld, 19221125, 22, 04 45202325, 8539555, 5
rec-453-org,   james, hodgens, 38, david street, kantz, werrington, 4421, vic, 19420505, 21, 04 36348805, 8935601, 6
rec-582-org,   zac, green, 8, portus place, mathlie, brookfield, 2500, nsw, 19990718, 26, 04 01448941, 2964837, 8
rec-692-org,   paige, grimditch, 8, devonport street, , bittern, 3012, vic, , 35, 04 23874205, 1017556, 8
rec-199-org,   ben, pulford, 140, dalley crescent, , wyongah, 3058, vic, , 34, 02 00591470, 1680692, 6
rec-192-org,   shona, kilbuen, 909, schlich street, wilgee, wanniassa, 2099, nsw, 19371027, 26, 03 00687606, 9699832, 6
rec-662-org,   ashleigh, mclachlam, 91, emmott place, gleneagle, greenacre, 2913, nsw, , , 08 75909725, 7831443, 2
rec-529-dup-1, gillian, rosada, 46, paul coe crescent, marri ott downs, theodore, 5049, qld, 19210222, 38, , 9297334, 2
rec-154-org,   sophie, dorn, 35, ferry place, woodcrest, mentone, 3064, vic, 19461002, 26, 08 97520476, 1042823, 7
rec-416-org,   thomas, pendle, 1, macpherson street, , eastwood, 4870, sa, 19481118, , 07 57714412, 9241633, 2
rec-340-dup-0, tristan, bradshaw, 98, muellerstreet, sherwood, sunshin enorth, 2073, qld, 19460104, 10, 08 32937353, 8298531, 4
rec-113-org,   sophie, haskett, 54, brookes street, wellshot, glenelg south, 2528, nsw, 19920716, 40, 08 98157331, 4579121, 1
rec-142-org,   joshua, clarke, 7, schaffer place, brookvale, jindalee, 5097, nsw, 19700207, 26, 02 70448126, 7185071, 9
rec-649-org,   nicholas, stanley, 1, bow place, , semaphore park, 3174, , 19180228, 36, 04 68248572, 3318573, 1
rec-145-org,   joshua, noack, 24, , redwood village, birkdale, 3556, nsw, 19001221, 19, 07 05036316, 6190453, 8
rec-112-dup-1, adam, musolino, 6, bavin street, , shoalhaven head, 0321, sa, , 23, , 3719372, 5
rec-596-org,   samantha, eyles, 131, biffin street, , mullaloo, 2650, wa, 19720506, 32, 08 05234784, 7723914, 2
rec-782-org,   sarah, provan, 19, hacking crescent, gimberts road, oaks estate, 5052, vic, 19680927, 8, 02 38888635, 9927364, 3
rec-634-org,   stephanie, , 29, blowering street, orana gardens retirement village, box hill south, 2285, vic, 19420301, 31, 04 21886129, 5738964, 8
rec-224-org,   isabelle, tiller, 21, pialligo avenue, , windsor, 4179, qld, 19120603, 27, 03 62099110, 1257067, 9
rec-790-org,   alexandra, guymer, 80, grund place, , landsborough, 2110, , 19140316, , 04 24321021, 2084829, 8
rec-737-org,   rhys, fullerton, 77, buckmaster crescent, , mona vale, 2166, wa, 19800918, 27, 02 63479954, 1200514, 5
rec-98-org,   flynn, rundle, 40, saville close, , berala, 6051, qld, 19711110, 25, , 6501577, 4
rec-307-org,   ned, hope, 39, blamey crescent, never die, payneham, 2830, nsw, 19290816, 23, 04 88649342, 9599528, 4
rec-297-org,   olivia, berry, 10, , the manor garden, brighton, 5158, sa, 19920407, , 03 43380255, 9646656, 8
rec-94-dup-0, andrew, tiller, 372, frome street, , port lincoln, 3150, , 19680410, 40, 08 91498510, 7695048, 2
rec-119-org,   finnbar, dent, 13, beaumont close, , toowong, 5108, , 19550728, 33, 02 27986359, 5838832, 6
rec-339-org,   jacob, heron, 15, boolee street, madeita park, cardiff, 3564, sa, 19870115, , 03 88399424, 1444214, 6
rec-90-dup-0, quinnq, madigan, 298, mackellar crescent, , newee crdeek, 2731, vic, 19921029, 28, 07 94997872, 3543167, 2
rec-92-org,   jade, boulter, 16, james street, waterdale, ganmain, 2026, vic, 19050809, 19, 02 21290685, 6425569, 6
rec-33-org,   ellie, golanski, 10, namatjira drive, , south melbourne, 4025, nsw, 19980105, 27, 03 52191547, 1133476, 6
rec-252-dup-0, james, wyllie, 98, skinnef street, brindabella specialist centre, armidale, 2540, vic, , 19, 08 77500413, 4021802, 5
rec-0-org,   connor, rushby, 30, holland street, villa 184, frankston, 5012, sa, , 21, 02 58256831, 2859875, 5
rec-315-org,   oliver, takafumi, 36, chapple close, nerriga, daw park, 5083, nsw, 19481202, 37, 02 65833922, 5836656, 2
rec-74-org,   jayden, marlow, 49, werriwa crescent, dudley specialist medical centre, ringwood, 6164, vic, , , 08 50172395, 9568150, 5
rec-400-org,   grace, chreb, 18, gidjili place, , lilydale, 7248, nsw, , 27, 04 32270682, 8484976, 6
rec-325-org,   mitchell, buckmaster, 7, kirkland circuit, , bayview, 2518, wa, 19300808, 35, 03 38615339, 3564958, 5
rec-420-org,   elton, volframs, 126, pennington crescent, , flemington, 2119, qld, 19230827, , , 3876865, 5
rec-118-org,   mitchell, snell, 16, frome street, three springs stud, westfield, 4870, nsw, 19650904, 34, 02 20915159, 7689303, 7
rec-138-org,   jack, gilcrist, , hart street, , burwood east, 3064, nsw, 19920930, 32, 08 80174875, 3730242, 7
rec-213-org,   charlotte, michelmore, 5, kosciusko avenue, , st albans, 2074, vic, 19150211, 33, 03 15881741, 4153579, 5
rec-281-org,   eleni, matthews, 49, scrivener street, , hendra, 2758, nsw, 19320328, 30, 02 02975708, 9162975, 6
rec-3-org,   katharine, lowe, , gaunson crescent, , south west rocks, 2154, nsw, 19310215, 32, 03 89313186, 6941229, 6
rec-319-org,   chloe, warnock, 14, hannaford street, collier park vlge, boondall, 6030, , 19081212, 28, 07 77601221, 8697815, 4
rec-794-org,   mia, berryman, 2, lindrum crescent, bega flts, oak park, 6302, , 19290913, 19, 08 61830037, 7617216, 4
rec-756-org,   jack, beadel, 87, amaroo street, , calliope, 5066, vic, , 26, 02 57660070, 9494058, 2
rec-577-org,   cassandra, white, 42, neilson street, , eagle heights, 7260, vic, 19721214, , 02 06597187, 3379969, 5
rec-711-org,   benjamin, byers, 24, du faur street, , punchbowl, 3163, , 19290621, , 07 32249069, 2606724, 5
rec-376-org,   amy, deleon, 16, batman street, najee, camden, 5047, nsw, 19490731, , 04 50723704, 5949351, 8
rec-264-org,   dillon, weller, 4, marconi crescent, , tarragindi, 2263, qld, , 29, 02 90593852, 1628090, 4
rec-220-org,   bella, mccarthy, 11, john cleland crescent, lanoma, toowoomba, 2200, wa, 19670616, 28, 04 86972637, 6681545, 4
rec-252-org,   james, wyllie, 98, skinner street, brindabella specialist centre, armidale, 2540, vic, 19530628, 19, 08 77500413, 4021809, 5
rec-729-org,   elly, redmond, 17, allwood street, , elizabeth grove, 6060, nsw, 19630618, 32, 07 10925451, 9996211, 3
rec-64-org,   isabelle, blacklow, 80, templestowe avenue, , bondi junction, 2000, wa, 19780615, 27, 02 73817454, 9388144, 0
rec-468-org,   jasmine, takats, 32, black street, oak-lodge, eaglehawk, 5606, nsw, 19740303, 31, 08 00381750, 2514559, 6
rec-100-org,   hugo, lock, 13, ovens street, clems place, wingello, 3871, , 19390708, 39, 07 39192025, 3520347, 1
rec-121-dup-1, yasmzn, priesley, 11, mulvey place, , bondi jubnction, 4527, nsw, 19370625, 27, 04 38098028, 2491706, 1
rec-258-org,   dylan, archdall, 23, wheatley street, , mullaloo, 4109, vic, 19560202, 30, 07 02627896, 8808264, 7
rec-310-dup-1, isabella, hayball, 1, gill atreet, , frankston, 5277, nsw, 19820731, 23, 03 37316075, 2210537, 1
rec-38-org,   genevieve, khouzan, 542, , ardlui, bundaberg, 5581, nsw, 19000130, 26, 02 22898091, 2271759, 8
rec-55-org,   jesse, rankine, 81, bandjalong crescent, , greenacre, 4872, nsw, 19400602, 31, 03 83138883, 6122788, 9
rec-765-org,   sophie, , 167, yarralumla bay, glen na marra, minto, 2037, nsw, 19850726, , 08 75304103, 1473710, 6
rec-218-org,   blake, ryan, 5, yiman street, , longreach, 3116, nsw, , , 07 51522627, 8106273, 6
rec-781-org,   matthew, baddeley, 32, sorlie place, , narrogin, 2232, nsw, 19981223, 22, 04 24602680, 1318240, 4
rec-542-org,   alexander, zellmer, 102, kett street, , judbury, 2340, qld, 19631003, 33, 08 62044790, 1898568, 2
rec-159-org,   georgia, mckerlie, 6, edmondson street, kindilan, towradgi, 5125, vic, 19860829, 31, 03 64761451, 3555844, 7
rec-316-dup-0, callum, ebdrt, 1, o'halloran circuit, tomary, woronpra, 4500, qld, 19130505, , 08 89003947, 7079712, 7
rec-402-org,   madeline, alszko, 3, eucumbene drive, , thirroul, 5112, vic, 19430228, 28, 03 24515163, 1132975, 5
rec-349-dup-0, riley, janad, 68, weetangerra road, , minfo, 2261, nse, 19220815, 31, 02 67834652, 8909807, 5
rec-87-dup-0, lachlan, campbell, 12, heagney drescent, , paterson, 2168, sab, 19130621, 29, 03 47690263, 8601035, 6
rec-760-org,   , fauser, 52, barr-smith avenue, , castlemaine, 2485, qld, 19610718, 9, 07 08795277, 5539185, 8
rec-197-org,   maxin, asendorf, 2, ballumbir street, , corrimal east, 3020, nsw, 19961123, 28, 07 71005985, 5241796, 1
rec-214-org,   , verco, 3, gilruth street, , north hobart, 5168, , 19320130, , 03 61396176, 6270285, 7
rec-148-org,   emiily, muhsam, 33, landsborough street, , blacktown, 2770, tas, 19020825, 25, 03 66741531, 6425836, 0
rec-77-org,   blake, speight, 91, jemalong street, de boerderij, mannum, 2360, vic, 19650203, 29, 03 66659049, 8704329, 3
rec-166-dup-1, brooke, clarbe, 6, scrivener street, , taigum, 2066, nsw, , 29, 04 41621999, 2238656, 3
rec-173-org,   ty, kammermann, 115, ellenborough street, , marayong, 4670, tas, 19900504, 35, 07 42780970, 1528534, 0
rec-683-org,   bryce, campbell, 35, bosch place, koonongal, mclaren vale, 4816, sa, 19250723, 39, 04 13600933, 8031730, 2
rec-527-org,   eden, , 39, baines place, , greensborough, 4878, vic, 19370411, 34, 08 04532346, 2428476, 9
rec-44-org,   emma, green, 16, , , carrara, 3084, sa, 19181010, 33, 08 60883331, 3600885, 1
rec-88-org,   hunter, vincent, 2, pickles street, , port douglas, 2615, , 19260905, , 07 05892910, 8527444, 8
rec-58-org,   ashleigh, capurso, 17, elvire place, , noble park, 6716, nsw, 19830621, 30, 03 33849451, 6334459, 5
rec-513-org,   emma, krollig, 340, st john crescent, , bingil bay, 5076, qld, 19450302, 29, 04 84513456, 7592460, 3
rec-104-dup-2, matthew, gripton, 3, harper street, , cherrybrok, 6150, , 19320717, 20, 03 81530044, 6474312, 3
rec-652-org,   harry, mccarthy, 4, burraly court, school residence, dooralong, 2115, vic, 19440403, 30, 02 39821115, 6013392, 5
rec-85-org,   alia, mccarthy, 298, thorn place, flr 2 dunkheld garden, cohuna, 4068, wa, 19351128, 29, 07 64179708, 5890359, 7
rec-756-dup-0, jac, beadel, 88, amaroo srreet, , calliope, 5066, vic, , 26, 02 57660070, 9494058, 2
rec-312-dup-1, elsworth, brodie, 3, bradfield street, house 254 durack garden caravn park, cape clear, 2167, qlld, 19530203, 39, 02 81888824, 9988893, 0
rec-316-dup-1, callum, ebery, 10, o'halloran circuit, tomary, woronora, 4500, qlf, 19130505, 25, 08 89003947, 7079712, 7
rec-592-org,   hannah, gaskin, 23, , ulah, natone upper, 2099, vic, 19020928, 25, 02 19308535, 5351825, 8
rec-175-org,   daniel, goodacre, , barlee place, , miriam vale, 2799, nsw, 19650521, 32, 04 78558070, 3313144, 5
rec-494-dup-0, shae, ayres, 19, southside caavan park, , auburn, 4659, , , 39, 08 07457044, 8988025, 4
rec-756-dup-1, jack, beadeil, 86, amaroo street, , calliope, 5066, viv, , 26, 02 57660070, 9494058, 2
rec-236-org,   finlay, green, 28, scarborough street, john flynn medical centre, williamstown, 5433, , 19640527, 9, 03 35012445, 4123614, 9
rec-732-org,   jacob, reid, 48, maribyrnong avenue, auscott park, marsden, 3081, vic, 19800117, 27, 08 73032199, 3460866, 2
rec-179-org,   tarnee, white, 55, undoolya street, altona, woollahra, 2111, nsw, 19251212, , 02 36464228, 5252136, 1
